P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.0004886708560276,1.03398802610257,34.3754844103744,1.01854205208287,0.0,0.01,21.1,-21.1,0,28900.2725584507
0.0004863668513113,1.03399151666282,34.5384684898512,1.01845718679503,0.0,0.01,21.2,-21.2,0,27382.5710427761
0.0005735336607219,1.03549770338637,59.4608153258251,1.08083902814461,0.0816876706274701,0.01,21.3,-21.3,0,25147.8394396305
0.0005708569778915,1.03389110739772,59.7796793352699,1.08120505619759,0.0811621654081885,0.01,21.4,-21.4,1,5049.99033117294
0.0004795833698353,1.03399580426612,35.0272349111158,1.01819896991649,0.0,0.01,21.5,-21.5,1,34379.7886867523
0.0013186286042746,0.603185876288547,0.548249363635749,11.3894367161762,10.2940366933314,0.01,21.6,-21.6,2,211725.848133087
0.0037726459169227,0.329954484248896,0.0799748103599035,10.9316822540174,1.92753024322947,0.01,21.7,-21.7,0,69163.3231751919
0.0004729864998292,1.0339964172849,35.5160090587086,1.01794749660028,0.0,0.01,21.8,-21.8,0,52960.2903475761
0.0006071884606395,0.302003737578634,0.0728886551625424,8.51759654410145,0.469285805155122,0.01,21.9,-21.9,0,36304.2414238453
0.0004686884915478,1.03399726182307,35.8418328289631,1.0177834365329,0.0,0.01,22.0,-22.0,1,34468.92334342
